election_type,sg_typecode,sg_type_label,sd_name,sgg_name,wiw_name,name,hanja_name,gender,birthday,age,party,job,education,career1,career2,addr,reg_status,reg_date,huboid
지방선거,3,광역단체장,서울특별시,서울특별시,,김형남,金炯男,남,19891108,36,더불어민주당,인권운동가,고려대학교 정치외교학과 졸업,(전)군인권센터 사무국장,(전)더불어민주당 제22대 총선 국민참여공동선대위원장,서울특별시 성북구 아리랑로19길,사퇴,20260203,100153766
지방선거,3,광역단체장,서울특별시,서울특별시,,정원오,鄭愿伍,남,19680812,57,더불어민주당,정당인,한양대학교 도시대학원 도시개발경영전공 박사 수료,"(전)민선 6,7,8기 성동구청장",(전)한양대학교 경영대학 특임교수,서울특별시 성동구 왕십리로,등록,20260305,100157144
지방선거,3,광역단체장,서울특별시,서울특별시,,이승현,李昇炫,남,19580714,67,국민의힘,기업인,고려대학교 경영전문대학원 경영학석사(전공:Executive MBA),(전)한국외국기업협회 회장,(현)한국무역협회 부회장,서울특별시 강남구 선릉로,등록,20260317,100158580
지방선거,3,광역단체장,서울특별시,서울특별시,,오세훈,吳世勲,남,19610104,65,국민의힘,서울특별시장,고려대학교 대학원 법학과 졸업(법학박사),(현)제39대 서울특별시장,"(전)제33, 34, 38대 서울특별시장",서울특별시 용산구 한남대로,등록,20260427,100162984
지방선거,3,광역단체장,서울특별시,서울특별시,,이상규,李相奎,남,19650107,61,진보당,배관공,서울대학교 법과대학 공법학과 졸업,(현)진보당 모두를위한서울특위 위원장,(전)19대 관악을 국회의원,서울특별시 관악구 난곡로,등록,20260204,100153810
지방선거,3,광역단체장,서울특별시,서울특별시,,김정철,金正澈,남,19761002,49,개혁신당,변호사(법무법인 우리 대표변호사),고려대학교 대학원 법학박사,(전)서강대학교 법학전문대학원 겸임교수,(현)개혁신당 최고위원,서울특별시 강남구 개포로,등록,20260317,100158541
지방선거,3,광역단체장,서울특별시,서울특별시,,오희주,吳熹珠,여,19830915,42,국민연합,정당인,이화여자대학교 대학원 북한학과 재학중,(현)국민연합 서울특별시당 위원장,(전)오성종합건설(주) 대표이사,서울특별시 종로구 혜화로3길,등록,20260401,100161421
지방선거,3,광역단체장,서울특별시,서울특별시,,유지혜,柳志慧,여,19970505,29,여성의당,정당인,원광디지털대학교 한국문화학부 한국복식과학학과 졸업,(현)여성의당 대변인,(전)제22대 국회의원선거 비례대표 여성의당 후보,서울특별시 강북구 오현로25라길,등록,20260420,100162632
지방선거,3,광역단체장,서울특별시,서울특별시,,이강산,李江山,남,19890829,36,자유통일당,정당인,서울대학교 경영전문대학원 경영학과(SNU MBA) 졸업(석사),(전)자유통일당 2025년 구로구청장 보궐선거 후보,(현)자유통일당 AI전략위원회 위원장,서울특별시 구로구 남부순환로95길,등록,20260420,100162642
지방선거,3,광역단체장,서울특별시,서울특별시,,권영국,權英國,남,19630815,62,정의당,정의당 대표,서울대학교 공과대학 금속공과 졸업,(현)정의당 대표,(전)제1대 전국민주노동조합총연맹 법률원 원장,서울특별시 마포구 월드컵로,등록,20260421,100162720
지방선거,3,광역단체장,부산광역시,부산광역시,,이재성,李在星,남,19701008,55,더불어민주당,정당인,서울대학교 계산통계학과 졸업,(전)더불어민주당 부산시당위원장,(전)이재명 후보직속 AI강국위원회 위원장,부산광역시 사하구 장림로,등록,20260203,100153765
지방선거,3,광역단체장,부산광역시,부산광역시,,박형준,朴亨埈,남,19600119,66,국민의힘,부산광역시장,고려대학교 대학원 사회학과 박사과정 졸업(문학박사),(현)부산광역시장,(전)국회사무총장,부산광역시 해운대구 달맞이길65번길,등록,20260427,100162954
지방선거,3,광역단체장,부산광역시,부산광역시,,정이한,鄭莉翰,남,19880708,37,개혁신당,개혁신당 대변인,부산대학교 행정대학원 행정학과 석사과정 재학,(현) 개혁신당 중앙당 대변인,(현) 개혁신당 부산시당위원장 직무대행,부산광역시 부산진구 신천대로126번길,등록,20260224,100155833
지방선거,3,광역단체장,대구광역시,대구광역시,,김부겸,金富謙,남,19580121,68,더불어민주당,정당인,서울대학교 사회과학대학 정치학과 졸업,(전) 제47대 국무총리,(전) 제16·17·18·20대 국회의원(4선),대구광역시 수성구 천을로,등록,20260409,100162026
지방선거,3,광역단체장,대구광역시,대구광역시,,이재만,李在晩,남,19590510,67,국민의힘,정당인,한양대학교 대학원 행정학과 졸업(행정학 박사),"(전)제25대, 제26대 대구광역시 동구청장",(전)자유한국당 최고위원,대구광역시 동구 화랑로80길,등록,20260204,100153811
지방선거,3,광역단체장,대구광역시,대구광역시,,홍석준,洪碩晙,남,19660517,60,국민의힘,특임교수,서울대학교 행정대학원 졸업(행정학 석사),(전)대구광역시 경제국장,(전)제21대 국회의원,대구광역시 동구 파계로6길,등록,20260209,100153836
지방선거,3,광역단체장,대구광역시,대구광역시,,이진숙,李眞淑,여,19610704,64,국민의힘,정당인,서강대학교 공공정책대학원 졸업 [정치학석사(국제정치)],(전)방송통신위원회위원장,(전)대전 MBC 사장,대구광역시 북구 중앙대로,등록,20260310,100157689
지방선거,3,광역단체장,대구광역시,대구광역시,,이수찬,李秀燦,남,19671104,58,개혁신당,정당인,경북대학교 인문대학 사학과 졸업,(현)개혁신당 대구광역시당 위원장,,대구광역시 수성구 달구벌대로530길,등록,20260303,100156890
지방선거,3,광역단체장,대구광역시,대구광역시,,김한구,金韓球,남,19670613,58,무소속,현대자동차(주) 달성지점 부장,경북대학교 경영대학원 마케팅학과 석사과정 수료,(전) 현대자동차(주) 노동조합 대의원,(전) 달성군 새마을협의회 감사,대구광역시 달성군 유가읍 테크노북로,등록,20260226,100156398
지방선거,3,광역단체장,인천광역시,인천광역시,,이기붕,李基朋,남,19630502,63,개혁신당,정당인,고려대학교 대학원 생명공학과 박사과정 수료,(현) 개혁신당 인천광역시당 위원장,(전) 연세대학교 객원교수,인천광역시 연수구 먼우금로,등록,20260203,100153769
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,이병훈,李炳勲,남,19570318,69,더불어민주당,정당인,전남대학교 일반대학원 행정학과 졸업(행정학 박사),(현)더불어민주당 호남발전특별위원회 수석부위원장,(전)광주광역시 문화경제부시장,광주광역시 동구 중앙로290번길,사퇴,20260204,100153809
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,김영록,金瑛錄,남,19550217,71,더불어민주당,전라남도지사,미국 시러큐스대학교 맥스웰시민행정대학원졸업 행정학 석사(1985.8~1987.6),(전)농림축산식품부 장관,(현)전라남도지사,전라남도 무안군 삼향읍 남악로,사퇴,20260309,100157535
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,강기정,姜琪正,남,19641203,61,더불어민주당,광주광역시장,전남대학교 행정대학원 행정학과 졸업 (행정학석사),(현) 광주광역시장,(전) 대통령비서실 정무수석,광주광역시 북구 대천로,사퇴,20260320,100159225
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,이종욱,李鍾郁,남,19670316,59,진보당,정당인,목포해양전문대학(현 국립목포해양대학교) 항해과 졸업,(현) 민주노총 광주지역본부장,(전) 광주광역시 공무원노조 위원장,광주광역시 광산구 여대길,등록,20260203,100153775
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,강은미,姜恩美,여,19700906,55,정의당,정당인,전남대학교 해양학과 졸업,(현) 정의당 광주광역시당 위원장,(전) 21대 정의당 국회의원 (비례대표),광주광역시 서구 화개1로78번길,등록,20260320,100159061
지방선거,3,광역단체장,전남광주통합특별시,전남광주통합특별시,,김광만,金侊滿,남,19611116,64,무소속,정치인,고려대학교 경영정보대학원 석사과정(조직관리전공) 졸업,(전)호남대학교 경영대학 경영학과 초빙교수,,광주광역시 북구 용봉택지로13번길,등록,20260422,100162728
지방선거,3,광역단체장,대전광역시,대전광역시,,허태정,許泰鋌,남,19650817,60,더불어민주당,정당인,충남대학교 철학과 졸업,(전) 대전광역시장,(현) 충남대학교 특임교수,대전광역시 유성구 은구비남로,등록,20260203,100153736
지방선거,3,광역단체장,대전광역시,대전광역시,,고낙정,高樂正,남,19421205,83,더불어민주당,공인중개사,대전상업고등학교(현 우송고등학교) 졸업,(전) 2006년 대전광역시장 후보자,(현) 컨설팅 공인중개사 사무소 대표,대전광역시 유성구 용계로2번길,등록,20260210,100153747
